idRodzajuObiektu;nazwa;idRodzinyObiektu_FK
1;BUDYNKI MIESZKALNE JEDNORODZINNE;1
2;BUDYNKI O DWÓCH MIESZKANIACH;1
3;BUDYNKI O TRZECH I WIÊCEJ MIESZKANIACH;1
4;BUDYNKI ZBIOROWEGO ZAMIESZKANIA;1
5;HOTELE I BUDYNKI ZAKWATEROWANIA TURYSTYCZNEGO;2
6;BUDYNKI BIUROWE;2
7;BUDYNKI HANDLOWO-US£UGOWE;2
8;BUDYNKI TRANSPORTU I £¥CZNOŒCI;2
9;BUDYNKI PRZEMYS£OWE I MAGAZYNOWE;2
10;KOMPLEKSOWE BUDOWLE NA TERENACH PRZEMYS£OWYCH;3
11;ZAK£ADY CHEMICZNE;3
12;BUDOWLE SPORTOWE I REKREACYJNE;4
13;OBIEKTY IN¯YNIERII L¥DOWEJ I WODNEJ POZOSTA£E;4
