idRodzajuUslugi;nazwa;idSekcjiUslugi_FK
1;ROBOTY BUDOWLANE ZWI¥ZANE ZE WZNOSZENIEM BUDYNKÓW MIESZKALNYCH;1
2;ROBOTY BUDOWLANE ZWI¥ZANE ZE WZNOSZENIEM BUDYNKÓW NIEMIESZKALNYCH;1
3;ROBOTY OGÓLNOBUDOWLANE ZWI¥ZANE Z BUDOW¥ DRÓG KO£OWYCH I SZYNOWYCH;2
4;ROBOTY OGÓLNOBUDOWLANE ZWI¥ZANE Z BUDOW¥ DRÓG SZYNOWYCH I KOLEI PODZIEMNEJ;2
5;ROBOTY OGÓLNOBUDOWLANE ZWI¥ZANE Z BUDOW¥ MOSTÓW I TUNELI;2
6;ROBOTY OGÓLNOBUDOWLANE ZWI¥ZANE Z BUDOW¥ RUROCI¥GÓW, LINII TELEKOMUNIKACYJNYCH I ELEKTROENERGETYCZNYCH;2
7;ROBOTY OGÓLNOBUDOWLANE ZWI¥ZANE Z BUDOW¥ POZOSTA£YCH OBIEKTÓW IN¯YNIERII L¥DOWEJ I WODNEJ;2
8;ROBOTY OGÓLNOBUDOWLANE ZWI¥ZANE Z BUDOW¥ NABRZE¯Y, PORTÓW, TAM, ŒLUZ;2
9;ROBOTY OGÓLNOBUDOWLANE ZWI¥ZANE Z BUDOW¥ OBIEKTÓW PRODUKCYJNYCH I GÓRNICZYCH;2
10;ROBOTY OGÓLNOBUDOWLANE ZWI¥ZANE Z BUDOW¥ STADIONÓW I BOISK SPORTOWYCH;2
11;ROBOTY ZWI¥ZANE Z ROZBIÓRK¥ I BURZENIEM OBIEKTÓW BUDOWLANYCH;3
12;ROBOTY ZWI¥ZANE Z PRZYGOTOWANIEM TERENU POD BUDOWÊ;3
13;ROBOTY ZWI¥ZANE Z WYKONYWANIEM WYKOPÓW I WIERCEÑ GEOLOGICZNO-IN¯YNIERSKICH;3
14;ROBOTY ZWI¥ZANE Z WYKONYWANIEM INSTALACJI ELEKTRYCZNYCH;3
15;ROBOTY ZWI¥ZANE Z WYKONYWANIEM INSTALACJI WODNO-KANALIZACYJNYCH, CIEPLNYCH, GAZOWYCH I KLIMATYZACYJNYCH;3
16;POZOSTA£E ROBOTY INSTALACYJNE;3
17;ROBOTY ZWI¥ZANE Z WYKONYWANIEM WYKOÑCZENIOWYCH ROBÓT BUDOWLANYCH;3
18;ROBOTY ZWI¥ZANE Z WYKONYWANIEM POZOSTA£YCH WYKOÑCZENIOWYCH ROBÓT BUDOWLANYCH;3
19;ROBOTY ZWI¥ZANE Z WYKONYWANIEM KONSTRUKCJI;3
20;ROBOTY ZWI¥ZANE Z MONTOWANIEM I DEMONTOWANIEM RUSZTOWAÑ;3
21;ROBOTY ZWI¥ZANE ZE WZNOSZENIEM KONSTRUKCJI Z CEGIE£ I KAMIENIA;3
22;ROBOTY MALARSKIE I SZKLARSKIE;3
23;ROBOTY ZWI¥ZANE Z WYK£ADANIEM POSADZEK, TAPETOWANIEM I OBLICOWYWANIEM ŒCIAN;3
24;ROBOTY TYNKARSKIE;3
25;ROBOTY ZWI¥ZANE Z ZAK£ADANIEM OGRODZEÑ;3
26;ROBOTY ZWI¥ZANE Z WYKONYWANIEM INSTALACJI WODNO-KANALIZACYJNYCH, CIEPLNYCH, GAZOWYCH I KLIMATYZACYJNYCH;3
